id,Nombre,Ciudad,Año,Kilometros,Combustible,Tipo_marchas,Mano,Consumo,Motor_CC,Potencia,Asientos,Descuento,Precio_cat
161,Ford Endeavour XLT TDCi 4X2,D,2007,155000,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7.0,,3
162,Ford Fiesta 1.5 TDCi Titanium,F,2014,122800,Diesel,Manual,First,25.01 kmpl,1498 CC,89.75 bhp,5.0,,3
163,Toyota Fortuner 4x2 4 Speed AT,J,2015,70000,Diesel,Automatic,First,11.5 kmpl,2982 CC,169 bhp,7.0,,5
164,Fiat Grande Punto 1.4 Emotion,E,2015,44846,Petrol,Manual,Second,14.6 kmpl,1368 CC,88.7 bhp,5.0,,3
165,Maruti Wagon R VXI BS IV,C,2015,25200,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,3
166,Honda Brio V MT,C,2012,59000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2
167,Honda Brio 1.2 S MT,B,2015,22000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5.0,6.23,3
168,BMW 5 Series 2003-2012 525d,J,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,4
169,Maruti Swift Dzire VXI,E,2015,33195,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,3
170,,H,2016,52378,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,13.6,4
171,Renault Duster 85PS Diesel RxL Option,B,2015,67000,Diesel,Manual,Second,19.87 kmpl,1461 CC,83.8 bhp,5.0,,3
172,Maruti Swift Dzire ZDI,G,2012,73000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3
173,Hyundai Creta 1.6 CRDi AT SX Plus,E,2016,58671,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,,4
174,Audi A4 35 TDI Premium,K,2015,58970,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,5
175,Maruti Wagon R LXI,L,2015,51530,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2
176,Hyundai Getz GVS,B,2005,90000,Petrol,Manual,Second,15.3 kmpl,1341 CC,61 bhp,5.0,,1
177,Maruti Swift VXI,J,2014,55000,Petrol,,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,3
178,Chevrolet Spark 1.0 LT,H,2012,50619,Petrol,Manual,First,18.0 kmpl,995 CC,62 bhp,5.0,,1
179,Hyundai Santro Xing GLS,B,2009,42000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,1
180,Maruti Ritz VDi,F,2010,68000,Diesel,Manual,Second,21.1 kmpl,1248 CC,73.9 bhp,5.0,,2
181,Maruti Swift ZDi,F,2016,64000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3
182,Mitsubishi Pajero 2.8 GLX CRZ,F,2007,78000,Diesel,Manual,Second,10.5 kmpl,2835 CC,107.2 bhp,6.0,,3
183,Tata Zest Quadrajet 1.3 XT,K,2017,27768,Diesel,Manual,First,20.65 kmpl,1248 CC,88.7 bhp,5.0,10.06,3
184,Honda Brio EX MT,D,2013,42320,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2
185,Hyundai Creta 1.6 CRDi AT SX Plus,H,2016,38593,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,,4
186,Hyundai Santa Fe 4x4 AT,K,2014,58000,Diesel,Automatic,First,11.72 kmpl,2199 CC,194.3 bhp,7.0,,5
187,Mercedes-Benz GLS 350d Grand Edition,J,2018,6000,Diesel,Automatic,First,11.0 kmpl,,258 bhp,,1.02,5
188,Maruti S Cross DDiS 320 Alpha,J,2015,16607,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,5.0,,4
189,,B,2014,34670,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,4.71,2
190,BMW 3 Series 320d Highline,K,2014,69330,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5.0,,5
191,Toyota Camry Hybrid,J,2014,67000,Petrol,Automatic,First,19.16 kmpl,2494 CC,158.2 bhp,5.0,,5
192,Honda Brio S MT,I,2013,32807,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2
193,Ford Ecosport 1.5 DV5 MT Trend,K,2013,90000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,,,3
194,Hyundai i20 Asta 1.2,B,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,3
195,Mahindra XUV500 W8 2WD,K,2015,76000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,4
196,Hyundai i20 Magna 1.4 CRDi (Diesel),F,,14061,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5.0,,4
197,Audi Q7 4.2 TDI Quattro Technology,K,2014,50000,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7.0,,5
198,Honda Amaze VX i-Vtech,C,2015,79000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,3
199,Honda Civic 2010-2013 1.8 V MT,C,2010,61700,Petrol,Manual,First,14.8 kmpl,1799 CC,130.2 bhp,5.0,,2
200,Mercedes-Benz New C-Class C 200 Kompressor Elegance MT,D,2010,34000,Petrol,Manual,First,11.7 kmpl,1796 CC,178 bhp,5.0,,4
201,Skoda Superb 3.6 V6 FSI,F,2010,54000,Petrol,Automatic,First,,,262.6 bhp,5.0,,3
202,Mercedes-Benz GLE 250d,F,2016,50000,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,5.0,79.43,5
203,Hyundai Grand i10 Asta Option,C,2016,25000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,3
204,Maruti Ritz LXI,F,2013,80264,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,3
